MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating,num_vendors,num_transactions,total_expenditure_ledger,top_vendor,top_vendor_share_pct,vendor_hhi,round_amount_txn_pct,payment_inprogress_pct,same_day_same_vendor_clusters,completed_count,avg_cost_zscore,high_cost_outlier_count,no_image_pct,no_rating_pct,round_amount_pct,max_desc_repeat,max_amount_repeat,pending_payment_ratio,util_completion_gap,unpaid_balance_pct,rule_score_raw,ml_anomaly_score,rule_score_scaled,risk_score,risk_level,reasons_text,checklist_text
BHUMARE SANDIPANRAO ASARAM,AURANGABAD,Maharashtra,Lok Sabha,147000000.0,116994317.0,52095352.0,79.59,29,92,31.52,64898965.0,38,36,2,,20.0,38.0,52095352.0,shri jagdamba construction,16.15,9.33,13.16,5.26,3.0,29.0,0.910699750019563,0.0,62.07,100.0,13.79,1.0,2.0,5.263157894736842,48.07000000000001,124.57726554952542,48,10.9,58.5,39.5,Low,Funds utilization (80%) is far ahead of physical completion (32%) — a gap of 48 points. | 62% of completed works have no geo/photo evidence uploaded. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 125% of expenditure is still an unpaid balance to vendors.,Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Request site photographs / geo-tagged images for works missing visual evidence. | Verify that advance/interim payments correspond to actual physical progress on site.
MANOJ TIGGA,ALIPURDUARS,West Bengal,Lok Sabha,147000000.0,99802333.75,11379773.0,67.89,10,90,11.11,88422560.75,17,17,0,,5.0,17.0,11379773.0,SUBRATA SAHA,38.75,27.8,0.0,0.0,3.0,10.0,-0.035133726344048884,0.0,0.0,100.0,0.0,1.0,6.0,0.0,56.78,777.0151544323423,46,14.6,56.1,39.5,Low,Funds utilization (68%) is far ahead of physical completion (11%) — a gap of 57 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The exact same rupee amount appears on 6 separate completed works. | 777% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
DR C N MANJUNATH,BANGALORE RURAL,Karnataka,Lok Sabha,147000000.0,119592941.0,58422695.0,81.36,66,250,26.4,61170246.0,190,183,7,,40.0,190.0,58422695.0,PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA,48.44,24.75,14.74,3.68,34.0,66.0,-0.07028118489205532,0.0,16.67,100.0,45.45,1.0,22.0,3.684210526315789,54.96,104.70288301489687,46,14.4,56.1,39.4,Low,Funds utilization (81%) is far ahead of physical completion (26%) — a gap of 55 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The exact same rupee amount appears on 22 separate completed works. | 105% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
SAMBIT PATRA,PURI,Odisha,Lok Sabha,147000000.0,120088525.0,38354750.0,81.69,548,730,75.07,81733775.0,847,847,0,,46.0,847.0,38354750.0,ODISHA DISTRIBUTING AUTHORITY,27.42,9.61,41.32,0.0,83.0,548.0,-0.47942519706791803,0.0,37.04,100.0,4.01,178.0,521.0,0.0,6.6200000000000045,213.09948572210743,34,36.0,41.5,39.3,Low,Almost none of the completed works have received citizen/beneficiary feedback ratings. | The same work description text is reused 178 times. | The exact same rupee amount appears on 521 separate completed works. | 213% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify these are genuinely distinct works and not duplicate/split entries.
Midhun Reddy,RAJAMPET,Andhra Pradesh,Lok Sabha,178951477.11,160099216.0,56264747.0,89.47,181,489,37.01,103834469.0,232,217,15,,89.0,232.0,56264747.0,N KAMALAKAR REDDY,6.26,1.97,10.34,6.47,41.0,181.0,-0.30837619449816833,0.0,0.0,100.0,0.55,1.0,16.0,6.4655172413793105,52.46,184.54622927567772,46,14.0,56.1,39.3,Low,Funds utilization (89%) is far ahead of physical completion (37%) — a gap of 52 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The exact same rupee amount appears on 16 separate completed works. | 185% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
Shrikant Eknath Shinde,KALYAN,Maharashtra,Lok Sabha,147000000.0,2825000.0,325000.0,1.92,0,2,0.0,2500000.0,1,1,0,,1.0,1.0,325000.0,Pro Ortho Perfect India Pvt Ltd,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,769.2307692307693,10,79.3,12.2,39.0,Low,769% of expenditure is still an unpaid balance to vendors.,Confirm vendor payment schedule and reasons for outstanding dues.
Shri Abdul Wahab (2021-27),Sitting Rajya Sabha,Kerala,Rajya Sabha,310898953.29,274559149.0,93760670.0,88.31,120,368,32.61,180798479.0,164,164,0,,121.0,164.0,93760670.0,SML ISUZU LTD,6.1,1.96,6.71,0.0,8.0,120.0,0.118336278850827,3.0,12.5,100.0,5.83,1.0,2.0,0.0,55.7,192.82976433508847,50,6.0,61.0,39.0,Low,Funds utilization (88%) is far ahead of physical completion (33%) — a gap of 56 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 3 completed works cost far above the average for their work category (statistical outliers). | 193% of expenditure is still an unpaid balance to vendors.,Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
AKHILESH YADAV,KANNAUJ,Uttar Pradesh,Lok Sabha,147000000.0,133799178.0,32453607.0,91.02,40,244,16.39,101345571.0,92,85,7,,27.0,92.0,32453607.0,MS BHARTIYA CONSTRUCTION,14.46,7.83,5.43,7.61,12.0,40.0,-0.2989538928716987,1.0,0.0,100.0,0.0,1.0,17.0,7.608695652173914,74.63,312.2782962152712,46,13.1,56.1,38.9,Low,Funds utilization (91%) is far ahead of physical completion (16%) — a gap of 75 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The exact same rupee amount appears on 17 separate completed works. | 312% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
Shri Kumbakudi Sudhakaran,KANNUR,Kerala,Lok Sabha,147000000.0,114174376.0,26785182.0,77.67,63,293,21.5,87389194.0,98,81,17,,26.0,98.0,26785182.0,Keltron Component complex Ltd Kannur,22.62,9.59,46.94,17.35,10.0,63.0,-0.2406016403634565,0.0,17.46,100.0,1.59,2.0,25.0,17.346938775510203,56.17,326.25947436160783,46,13.0,56.1,38.9,Low,Funds utilization (78%) is far ahead of physical completion (22%) — a gap of 56 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The exact same rupee amount appears on 25 separate completed works. | 326% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,Maharashtra,Lok Sabha,159680283.39,134892033.0,15660951.0,84.48,8,152,5.26,119231082.0,22,20,2,,21.0,22.0,15660951.0,GRAM PANCHAYAT CHANDORI,7.64,5.02,27.27,9.09,0.0,8.0,0.11244878324655212,0.0,0.0,100.0,12.5,2.0,1.0,9.090909090909092,79.22,761.3272144201205,38,27.6,46.3,38.8,Low,Funds utilization (84%) is far ahead of physical completion (5%) — a gap of 79 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 761% of expenditure is still an unpaid balance to vendors.,Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
